name,price,old_price,discount
DELL Touch Screen Laptop X360 Intel / Pentium 4GB RAM 128GB Ssd - Renewed,"UGX 499,000","UGX 890,000",44%
"Refurbished ThinkPad T470S - Laptop with Intel Core i7, 14"" Display, 12GB RAM, and 256GB SSD Black","UGX 950,000","UGX 1,750,000",46%
" L13 11th Gen Intel Core i5 14 Inch Slim Laptop, 16GB RAM 256GB SSD (Renewed)","UGX 1,300,000","UGX 1,900,000",32%
"Hp EliteBook x360 1040 G8 – Core i5, 8GB RAM, 512GB SSD, 14"" FHD Touchscreen – Silver (Brand New)","UGX 2,790,000","UGX 3,000,000",7%
"Latitude 7270/5270, 12.5"" HD, Intel Core i5, 8GB RAM, 256GB SSD, Refurbished - Black (6MTHS WRTY)","UGX 599,000","UGX 999,000",40%
Hp EliteBook 830 G6 Core i5 8th Gen  8GB & 256GB,"UGX 1,150,000","UGX 1,300,000",12%
"Refurbished ThinkPad , 13.3-inch, Core I5, 8GB RAM, 256GB SSD,  Plus Bag -Black","UGX 769,985","UGX 1,500,000",49%
"Certified Refurbished 14"" EliteBook 840 Core i5, 8GB RAM, 500GB HDD  Windows 11 - Silver","UGX 589,000","UGX 1,490,000",60%
"Elitebook 8460p, Core i5, 14.1, 4GB RAM 500GB  -Silver - Refurbished","UGX 429,000","UGX 690,000",38%
"Latitude 3350/3340 13.3"",,Core i3,4GB RAM,500GB HDD - Refurbished -Dark Grey","UGX 489,000","UGX 1,290,006",62%
Refurbished ProBook 640 Core I5 8GB Ram 1TB HDD 14 Inch Screen -Black (6 MNTHS WRTY),"UGX 599,000","UGX 1,100,000",46%
" Refurbished EliteBook 820 12.5"" - Core I7 ,8GB RAM 500GB-Black (6MTHS WRTY)","UGX 669,900","UGX 1,389,000",52%
"Latitude Laptop Intel 8GB Ram , 500GBHDD Plus Bag And Mouse- Grey (Refurbished)","UGX 479,000","UGX 800,000",40%
"Refurbished 840 G5 Touch Screen, Core i5 8th Gen, 16GB RAM, 256GB SSD - Silver","UGX 1,250,000","UGX 5,000,000",75%
"Hp EliteBook 840 G8  Laptop Intel Core i7 11th Gen, 16GB RAM,512GB SSD, 14.0-Inch FHD Display Win 11 Pro Renewed- Silver","UGX 1,850,000 - UGX 1,900,000","UGX 2,900,000 - UGX 3,800,000",50%
Lenovo Think pad Yoga 11e Touchscreen 11.6 Grade A,"UGX 479,990","UGX 950,000",49%
 Latitude 11'' Inch 3189 / 3190 Touch X360 256GB SSD/4GB RAM -Dark Grey,"UGX 630,000","UGX 980,000",36%
Hp Probook G1 Touch Screen X360 Intel 4GB RAM 128GB SSD 11.6 (Refurbished) Grade A,"UGX 484,600","UGX 790,000",39%
"Refurbished 14 Inch EliteBook 840 G2, Core i7, 5th Gen, 16GB Ram, 500GB HDD, Windows 10 Pro, with a Free Laptop Bag-Black G1/G2","UGX 820,000","UGX 1,350,000",39%
RENEWED EliteBook 830 G7 13.3-Inch FHD Business Laptop Intel Core I7 10th Gen 16GB RAM 512GB SSD Win 11 Pro ,"UGX 2,950,000","UGX 3,500,000",16%
ProBook 640 G1 Core I7 4th Gen 500GB HDD 8GB RAM 14-Inch Black Refurbished Laptop ) - (6MNTHS WNTY),"UGX 655,000","UGX 1,440,000",55%
"Refurbished HP EliteBook 820, 12.5"", Intel Core i5, 8GB RAM, 500GB HDD, Black","UGX 557,235","UGX 1,090,000",49%
"Refurbished 14 Inch EliteBook 840 G2, Core i5, 16GB Ram, 1TB HDD, Windows 10 Pro -g1 (g2/g1). Refurbished","UGX 795,000","UGX 1,370,000",42%
"Nec VersaPro,Slim Laptop, Intel Core i5 8th Gen,8GB RAM,128GB SSD,12.5""Windows 11 Pro-Black,Refurished","UGX 587,000","UGX 1,020,000",42%
"EliteBook 840 G5/G6 Core I5 8th Gen 8GB Ram, 256GB SSD 14 Inch Screen, ,Windows 11 - Refurbished - Silver","UGX 949,000","UGX 1,350,000",30%
" Renewed 12.5"" EliteBook 820,Core i7 8GB Ram,500GB HDD- Black ( 6 MTHS WRTY)","UGX 620,000","UGX 1,350,000",54%
"Hp EliteBook 850 G8 15.6 FHD, Intel Core i7-11th Generation  16GB RAM 512GB SDD Win 10 Pro Laptop - Silver","UGX 2,755,000","UGX 4,000,000",31%
"Nec VersaPro,Slim Laptop, Intel Core i5 8th Gen,8GB RAM,128GB SSD-Black,Refurished","UGX 586,000","UGX 1,020,000",43%
Latitude 3000 Series Intel 4GB RAM 500GB HDD (Refurbished),"UGX 435,000","UGX 790,000",45%
"Refurbished Elitebook Notebook Core I5,16GB RAM,256 GB SSD 14"", - Black","UGX 639,990","UGX 1,190,019",46%
DELL Latitude 3189/3190 x360 2in1  touchscreen Pentium/celeron/intel processor 4GB ram 128GB SSD Slim portable laptop with FREE mouse ,"UGX 476,000","UGX 1,000,000",52%
"Lenovo Thinkpad X1 Carbon Core™ i5 16GB 512GB SSD Gen 8 14"" 10th Generation - Black (Renewed)","UGX 1,370,000","UGX 2,100,000",35%
"Latitude 13.3 Inches Business Laptop,8GB RAM,128 GB SSD Storage Windows 10-Renewed","UGX 549,000","UGX 860,000",36%
"Mini Laptop B117 - 11.6"" Intel Celeron/Pentium, 4GB RAM 128GB SSD - Black,Refurbrished ","UGX 349,000","UGX 699,000",50%
"Lenovo ThinkPad 13.3  Core I5, 8GB RAM, 256GB SSD,  Plus Bag -Black(6MTHS WRTY)","UGX 779,330","UGX 1,650,000",53%
"Elitebook 8460 Intel Core I5,8GB RAM,500GB HDD,14"" Aluminium Body-Refurbished","UGX 469,000","UGX 899,000",48%
DELL 3340 Core I5 8GB RAM 500GB HDD Storage - Grey,"UGX 519,000","UGX 987,000",47%
"Elitebook 840 G5/G6, 14-inch, Intel Core I5, 16GB RAM, 512GB SSD , Windows 11 Pro, Refurbished – Silver","UGX 1,450,000","UGX 2,400,000",40%
"Dell Latitude E7470 Intel Core I5,8GB RAM,256GB SSD,14"",Bag,Mouse -Silver ","UGX 739,000","UGX 1,300,000",43%
"EliteBook 13 inch,Core I5, 8GB RAM,500 GB,Black, Refurbished( 6MTHS WRTY) Grade A","UGX 619,900","UGX 1,099,000",44%
Hp EliteBook 840 / 830 G8 Core i7 16GB Ram 256GB SSD Storage 11th Generation Renewed - Silver,"UGX 1,940,000","UGX 3,900,000",50%
"Refurbished Yoga Touch screen 256GB SSD,Intel Core i5, 8GBRAM - Black","UGX 850,000","UGX 1,000,000",15%
Refurbished Lenovo Yoga 11e Intel Celeron/pentium 4gb Ram 128Gb - SSD Touch Screen Black,"UGX 399,000","UGX 1,090,017",63%
"Acer Spin B X360,11.6” Touchscreen Laptop, Intel, 4GB RAM,64GB SSD -Renewed(3 MONTHS WARRANTY)","UGX 379,000","UGX 790,000",52%
"ThinkPad X390 13.3"" FHD (1920 x 1080), Intel Core i5-8350U 8Gen, 8GB DDR4 RAM, 256GB SSD, Camera, Windows 10 Pro (Refurbished) Black","UGX 1,230,000","UGX 2,300,000",47%
"ThinkPad T470s/T460s 14 Inch, Core I5 ,8GB Ram, 256GB SSD, Windows 10 - Black (6MTHS WRTY) Refurbished Grade A","UGX 715,000","UGX 1,400,000",49%
"Refurbished HP EliteBook 820 G1, G2, 12.5 Inch Core I7, 8GB Ram, 500GB Hard Disk, Windows 10 Pro - Black(6MTHS WRTY Grade A","UGX 750,000","UGX 995,000",25%
"Latitude Intel 11"" Laptop 8gb Ram, 500GB HDD, Plus MOUSE  And Bag-Grey Refurbished (6MTHS WRTY)","UGX 462,390","UGX 950,000",51%
"Latitude 5440 14"", Intel Core i5, 8GB RAM, 500GB HDD,Windows 10, Refurbished (6 Months Warranty)- Black","UGX 499,000","UGX 990,006",50%
" EliteBook 820 G3, Core i5 6th, 8GB RAM,256GB SSD Laptop-Silver (Refurbished)","UGX 739,900","UGX 1,290,000",43%
"Elitebook  1030 G2/G3,X360 Touch Screen,Intel core I5 8GB RAM 256GB SSD,13""-Silver,Renewed","UGX 1,399,000","UGX 1,999,000",30%
"Refurbished Lenovo Touch screen , Core i5 8GBRAM, 512GB SSD - Black","UGX 890,000","UGX 1,100,000",19%
"Hp Probook 430 G5/G6, Intel Core i5 8th Generation, 8GB RAM, 256 GB SSD 14 Inches HD Display-Renewed-Silver","UGX 799,000","UGX 1,290,000",38%
"Hp Probook 640 G2, I5 6th Gen,8GB RAM 256GB SSD 14""DVD RW – Black,Renewed","UGX 649,000","UGX 1,299,000",50%
"ProBook 640 Core i7, 8GB RAM 256GB SSD (Refurbished) Black","UGX 699,000","UGX 1,200,000",42%
Refurbished Probook G1 Touch Screen X360 Intel 4GB RAM 128GB SSD 11.6 - Grey,"UGX 445,000","UGX 870,000",49%
Refurbished Latitude 7490 I5 8th Gen 8GB 256GB SSD Windows 11 - Black Grade A,"UGX 909,901","UGX 1,699,000",46%
"EliteBook X360 1030 G3 Core i7 8GB 256GB SSD Touchscreen-Repacked/Renewed Notebook 13.3""-Silver","UGX 1,480,000","UGX 1,900,000",22%
" 2019 Apple MacBook Pro Touch Bar 15 Inch Core i9 , 16GB RAM, 512GB SSD) Refurbished","UGX 2,500,000","UGX 3,000,000",17%
"Hp Pavilion 15, 15.6"" Intel Core i5  2.5Ghz 8GB RAM 512SSD Slim Laptop (Open Box) - Silver","UGX 2,200,000","UGX 3,000,000",27%
"Hp OMEN 16 16.1"" FHD 165Hz Gaming Laptop (Intel 13th Gen Core i7-13700HX, 16GB DDR5 RAM, 1TB SSD, Geforce RTX 4060 8GB) 8GB Dedicated Graphics Backlit Gaming Laptop - Black","UGX 6,600,000","UGX 10,000,000",34%
"Refurbished X360 Convertible Touch Screen Intel 4GB RAM 256 GB SSD 11.6""inch 4Hours-Grey Grade A","UGX 539,900","UGX 1,100,000",51%
"100e 2nd Gen 11.6"" 4GB RAM,128GB SSD,Rugged & Spill Resistant Mini Laptop,Black,Refurbished. ","UGX 329,000","UGX 589,000",44%
"EliteBook 840, Core i5, 16GB Ram, 1000GB / 1TB Hdd Plus - Refurbished - Black","UGX 765,000","UGX 1,400,000",45%
"Hp EliteBook 840 G7 – Intel Core, 8GB RAM, 256GB SSD, 14  Silver Laptop","UGX 1,480,000","UGX 2,000,000",26%
"DELL  Renewed Latitude 7490 I5 ,8th Gen , 8GB Ram , 512GB SSD( Grade A+) - Black(6MTHS WRTY)","UGX 1,220,000","UGX 1,800,000",32%
"Refurbished 14"" Latitude E5480 Core i5 8GB RAM 256GB  SSD  ROM - Black","UGX 649,000","UGX 990,006",34%
"Refurbished Probook Touch Screen X360,Intel,4GB RAM,128GB SSD, 11.6-Grey/Black (Grade A)","UGX 440,000","UGX 800,000",45%
RENEWED Latitude 7280 Core i7 256GB SSD 8GB RAM 13-inch Black Laptop  ,"UGX 880,000","UGX 1,790,000",51%
"DELL  Latitude E7470 Laptop, 14 inches , Intel Core 6th Gen i5-6300U, 8GB RAM, 256GB SSD, Windows 10 Pro (Renewed)Grade A","UGX 728,645","UGX 1,299,000",44%
"DELL Latitude 3189,Intel Pentium,4GB RAM,256GB SSD,11"" Touch Screen With 6hour Battery -Grey","UGX 650,000","UGX 800,000",19%
Dell Latitude 5320 Core i5 16GB RAM 256GB SSD Storage 11th Gen Laptop - Silver,"UGX 1,300,000","UGX 2,000,000",35%
"Apple 2023 MacBook Pro M3 Chip 14.2"" MXE03LL/A  16GB Unified RAM 1TB SSD - Space Gray","UGX 7,920,000","UGX 8,920,000",11%
MacBook Pro Retina (2014) Core i5 4 GB Ram 256 SSD UK Refurbished - Silver,"UGX 850,000","UGX 3,000,000",72%
"Eeebook Flip E205 11.6-inch Touchscreen x360, Intel Celeron/Pentium 4GB,128GB Storage, (64GB SSD Plus 64GB SD Card), Dark Blue,Refurbished","UGX 399,000","UGX 800,000",50%
"Hp Envy X360 ES1013DX - Intel Core i5 Processor - 8GB Ram DDR4 - 512GB SSD NVMe - Intel Iris Xe Graphics - Backlit Keyboard - 14"" FHD (1920x1080) IPS Touch Screen -  Finger Pirnt Reader - 5MP Camera - Windows 11 Home - Natural Silver - Brand New","UGX 2,560,000","UGX 4,000,000",36%
"Refurbished Latitude 7490 i5 , 8th Gen 8GB Ram ,512GB SSD Windows 11 - Black(6 MTHS WRTY)","UGX 999,000","UGX 1,950,000",49%
"Refurbished Elitebook  Core I5,16GB RAM,750GB 14"", Plus Free Bag and Mouse - Black","UGX 659,000","UGX 1,790,019",63%
"Hp Stream Probook G4  11'6  Inch Mini Laptop, Celeron, 4GB Ram 64GB SSD – Grey- Renewed","UGX 329,000","UGX 600,000",45%
"Latitude 3189/3190, Intel ,4GB RAM,256GB SSD,11""inch, With 6Hour Battery, Touch Screen -Grey(Refurbished) Grade A","UGX 519,000","UGX 1,100,000",53%
"Lenovo Thinkpad X1 Yoga i5, 16gb ram, 512gb 8th Gen, Touch Screen- Refursh","UGX 2,000,000",,
Refurbished Latitude  8gb Ram 500gb HDD Intel Plus Mouse & Bag - Grey,"UGX 464,450","UGX 1,300,000",64%
"Refurbished Thinkpad X270/260 Laptop, Intel Core I5- CPU, 8GB RAM, 256GB SSD -BLACK","UGX 669,900","UGX 1,500,000",55%
" ProBook 640 Intel Core I5, 8GB RAM, 500GB HDD. Refurbished Grade A+ Plus Free Bag and Mouse- Black (6MTHS WRTY)","UGX 567,500","UGX 1,050,000",46%
"DELL Student Laptop,Intel Duo Core,64GB SSD,4GB RAM,11.6""-Gey/Black,Renewed","UGX 319,000","UGX 600,000",47%
"DELL Dell Latitude E7470 14in Laptop, Core i5-6300U 2.4GHz, 8GB Ram, 256GB SSD, Windows 10 Pro 64bit (Renewed)","UGX 699,000","UGX 1,500,000",53%
Latitude 11'' Inch 3180/3190 4GB RAM 128GB SSD Refurbished- Grey/Black Grade A,"UGX 450,000","UGX 1,100,000",59%
DELL Latitude 7390 core i5-8th gen 16GB ram 256GB SSD 13 inches screen size plus FREE Mouse -Black,"UGX 1,119,000","UGX 1,980,000",43%
"Renewed Latitude 7250 Refurbished Laptop: Core i7, 128GB SSD, 8GB RAM Black","UGX 799,000","UGX 1,000,000",20%
"Refurbished Acer Portable Mini Laptop.4GB RAM 128GB SSD, 12Inches Plus Free Pouche/sleeve- Black() (6MTHS WRTY)","UGX 359,000","UGX 899,000",60%
"Renewed 12.5"" EliteBook 820,Core i7  8GB Ram,500GB HDD- Black","UGX 689,088","UGX 1,400,000",51%
Refurbished Slim HP 820 - I5 8 GB RAM - 1 TB HDD - Black,"UGX 739,000","UGX 100,000,000",99%
"Refurbished 14"" ThinkPad T440s/T440/T450 Core i5 8GB RAM 500GB HDD - Black Grade A","UGX 549,000","UGX 1,200,000",54%
"Refurbished Surface Pro 7 Plus Laptop i5 11th Gen Ram 8GB Storage 256GB SSD 12.3"" Touchscreen Detachable Keyboard and Stylus pen Win 11 Black","UGX 2,650,000","UGX 4,500,000",41%
MacBook pro 14 inch 2020 M1 touch bar 8Bb Ram 512 SSD Refurbished,"UGX 2,800,000","UGX 3,500,000",20%
840 I7  16GB RAM 512GB SSD Refurbished - Black (4MTHS WRTY),"UGX 990,000","UGX 1,800,000",45%
Hp (Refurbished) i7 HP EliteBook 840 Intel Core i7- 4GB RAM-500GB Hard Disc - Black,"UGX 699,000","UGX 1,799,901",61%
"Refurbished Thinkpad T440s/T440/T450 Core i5,14'' 500GB HDD, 8GBRAM - Black Grade A","UGX 550,000","UGX 1,150,000",52%
"3180/3190 11.6"" Intel Celeron 4GB RAM 128GB SSD Free 500GB Hard Drive - Grade A Refurbished","UGX 423,000","UGX 620,000",32%
"Refurbished Acer Travel Mate 12"" 4GB Ram 128GB SSD - Black","UGX 359,000","UGX 950,009",62%
Refurbished Latitude 11'' Inch 3180/3190 128GB SSD/4GB RAM -Dark Grey/ Black (Grade A),"UGX 390,000","UGX 780,000",50%
"Certified Refurbished 14"" EliteBook 840 Core i5, 8GB RAM, 500GB HDD (Grade A) Plus free Bag- Black/Silver","UGX 675,000","UGX 1,300,000",48%
"DELL  XPS 13-9350 13.4-Inch High Performance Laptop (Intel Core  Processor, 16GB RAM, 512GB SSD, Windows 11 Home), Platinum","UGX 7,500,000",,
"Refurbished Elitebook Intel Core i5, 14"" 8GB RAM 500GB HDD Plus Free Mouse - Black","UGX 579,000","UGX 999,900",42%
"840 G1 Core i5 8GB RAM, 256SSD - Black, Silver. (Refurbished).","UGX 730,000","UGX 750,000",3%
"  Laptop 11"" 500GB 8GB RAM Intel ,HDMI Windows 10 Pro Webcam Zoom Ready-Dark Grey","UGX 449,000","UGX 900,000",50%
"Hp Elite Book 840 G2, Intel Core i5,8GB Ram, 500GB Hdd - Silver & Black  Grade A","UGX 690,000","UGX 1,400,000",51%
"Hp Renewed EliteBook 1040 G8 X360 Core i7, 16GB Ram, 256GB SSD 11th Gen Touchscreen 14 Inch - Silver","UGX 1,950,000","UGX 3,300,000",41%
"Renewed Elitebook 840 G5/G6 Intel Core I5 8th Gen, 16GB Ram, 512GB SSD ,14""Windows 11(6 MONTHS WARRANT)- Silver","UGX 1,399,000","UGX 1,590,000",12%
Hp EliteBook 1030 G3 X360 I7-8th Generation Touchscreen 2 In 1 Laptop 16GB RAM 512GB SSD 13.3 Inch(Renewed),"UGX 1,650,000","UGX 1,890,000",13%
" ProBook 640 Intel Core I5, 8GB RAM, 500GB HDD. Grade A Refurbished Plus Free Bag and Mouse- Black (6MTHS WRTY)","UGX 566,500","UGX 1,080,000",48%
"Latitude 3310 13.3"" Intel Core i3-8th Gen, 128GB NVMe SSD, 4GB DDR4,Refurbished","UGX 499,000","UGX 9,000,000",94%
"Certified Refurbished 14"" EliteBook 840 Core I5, 8GB RAM, 1TB GB HDD - Silver (6MTHS WRTY)","UGX 720,000","UGX 970,000",26%
"Hp EliteBook 1030 G8 X360 Core i7, 16GB Ram, 512GB SSD 11th Gen Touchscreen 13.3 Inches-Renewed - Silver","UGX 2,200,000","UGX 3,500,000",37%
"DELL Renewed Latitude 14"" 7490 Core I5 8th Generation ,8GB RAM,512GB SSD,(Grade A+) - Black( 6MTTHS WRTY)","UGX 1,109,000","UGX 1,700,000",35%
"Renewed 12.5"" EliteBook 820,Core i7  8GB Ram,500GB HDD- Black","UGX 669,900","UGX 1,400,000",52%
Elite X2 Core I5 12.5 Inch 7th Gen 8GB RAM 256SSD  Detachable Touchscreen Laptop (Renewed)  Silver,"UGX 1,250,000","UGX 1,960,000",36%
"11e 4GBRAM 128GB SSD 11.6"" Laptop Refurbished (Free Pouch And Hard Drive) -Black","UGX 449,000","UGX 800,000",44%
"DELL RENEWED Latitude 7250, 5th Gen Core i3, 8GB RAM, 128GB SSD Black 6MNTHS WARRANTTY","UGX 789,000","UGX 989,999",20%
"Refurbished Slim Elitebook 840 14 Inch 16GB RAM, 1TB HDD - Black (6MTHS WRTY)","UGX 789,000","UGX 1,500,000",47%
(Refurbished) Lenovo ThinkPad T480s Business Laptop Intel Core i7-8th Generation CPU 8GB RAM 256GB SSD 14.1in Display Windows 11,"UGX 1,250,000","UGX 1,950,000",36%
"(Refurbished) Latitude 3000 3120 2-in-1 (2021) 11.6"" HD Touch  Core Pentium - 128GB SSD - 8GB RAM  4 Cores @ 3.3 GHz","UGX 550,000","UGX 850,000",35%
"Refurbished Surface Pro 7 Plus Laptop i5 11th Gen Ram 8GB Storage 512GB SSD 12.3"" Touchscreen Detachable Keyboard Win 11 Black","UGX 2,750,000","UGX 5,000,000",45%
840 14 Inches 12GB RAM 1000GB/ 1TB HDD - Black,"UGX 820,000","UGX 1,200,000",32%
Refurbished Probook Touch Screen X360 Intel 4GB RAM 128GB SSD 11.6 - Grey (Grade A),"UGX 439,000","UGX 600,000",27%
"Microsoft surface laptop 2 i7, 16gb ram, 512gb, 8th gen,  touch screen","UGX 2,000,000",,
"Thinkpad T440/T440s/T450 Core i5 8GB RAM,  500GB Hdd , 14 inch -Black Refurbished Grade A","UGX 550,000","UGX 1,599,993",66%
"DELL Latitude 7490 I7  8th Gen  ,8GB  Ram , 256GB SSD - Black ( 6MTHS WRTY)Renewed.","UGX 1,000,000","UGX 1,900,000",47%
"Latitude 13.3 Inches Business Laptop,8GB RAM,128 GB SSD Storage Windows 11 Pro-Renewed","UGX 549,000","UGX 790,000",31%
"Latitude 7490 i7  8th gen  ,8GB  Ram , 256GB SSD - Black ( 6MTHS WRTY)Renewed.","UGX 909,000","UGX 1,900,000",52%
Refurbished Probook Touch Screen X360 Intel 4GB RAM 128GB SSD 11.6 - Grey,"UGX 490,000","UGX 800,000",39%
"DELL Renewed Latitude E5450/E7450 Core i5 16GB RAM 500GB HDD,6Months Warranty -Black ","UGX 629,000","UGX 1,099,000",43%
"Lenovo X270/X260  Laptop, Intel Core i5, 16GB RAM, 256GB SSD, 12.5 inch Renewed (6 MONTHS WARRANTY)","UGX 799,000","UGX 1,090,000",27%
"Netbook Mini Laptop 11.6"",Intel,128 GB SSD,4GB Black Plus Free Backpack, Refurbished.","UGX 379,000","UGX 999,000",62%
"Latitude 3000 series Mini Laptop,Intel Duo Core,4GB RAM,64GB SSD,11.6 Inch-Grey/Black,Refurbished","UGX 299,000","UGX 600,000",50%
 Refurbished ProBook 640 Core i5 8GB Ram 500GB HDD Plus Free BAG & MOUSE (6 MNTHS WRNTY) - Refurbished - Black,"UGX 568,500","UGX 980,000",42%
"Refurbished EliteBook 840 G5 14 Inch Screen, Core i5, 8GB Ram DDR4, 256GB SSD – Silver","UGX 1,099,000","UGX 1,590,000",31%
"DELL Latitude 3340 13.3 Inch Laptop, Intel Core I5, 500GB HDD Storage , 8GB RAM (Renewed) - Grey Grade A","UGX 525,000","UGX 1,000,000",48%
"Elite Book 840 Work place and business  Laptop Core I5,16GB Ram DDR3 1600MHZ Speed ,500GB HDD Storage , 4-8 hour battery  - Black,Grey-Renewed","UGX 620,000","UGX 1,200,000",48%
"Refurbished ThinkPad T470s/T460s/460S , Thin, Light Business Laptop , i5 , 8GB DDR4 RAM, 256GB SSD,14.0 inch -Black( 6 MTHS WRTY)","UGX 719,880","UGX 1,450,000",50%
"Hp  RENEWED EliteBook 820(12.5-inch, Core I5,8GB RAM,256GB SSD Drive Black (6MTHS WRTY) ","UGX 765,000","UGX 999,900",23%
"Elite Book 840,Core I5, 16GB Ram,500GB Plus Mouse Refurb- Black","UGX 630,000","UGX 1,200,000",48%
"Apple MacBook Pro M3 Pro 14.0"" Liquid Retina XDR Display 12‑core CPU, 18‑core GPU 18GB Unified Memory, 1TB SSD - Silver","UGX 7,500,000","UGX 13,000,000",42%
640 Intel Core I5 8GB RAM 500GB HDD Refurbished (6 MNTHS WRNTY) - Black,"UGX 530,000","UGX 1,000,000",47%
"Latitude 3120 Mini Laptop, Intel Pentium, 4GB Ram, 128GB SSD, 11.6”, Refurbished-Grey(3 Months Warranty)","UGX 389,000","UGX 670,000",42%
Hp Pavilion x360 14  Intel Core i7 13th Gen  16GB DDR4 RAM  512GB SSD  14” FHD Touchscreen  2-in-1 Convertible Laptop,"UGX 3,339,000","UGX 4,000,000",17%
"Referburished Hp 2560p i5 500GB HDD, 8GB RAM - Silver","UGX 590,000","UGX 1,400,004",58%
DELL Latitude 3340/3350,"UGX 512,000","UGX 1,180,008",57%
"Refurbished 14 Inch EliteBook 840 G2, Core i7, 5th Gen, 16GB Ram, 500GB SSD, Windows 10 Pro, with a Free Laptop Bag-Black","UGX 920,000","UGX 1,350,000",32%
"Renewed Latitude Mini Laptop 11.6"" HD Intel Pentium Windows 11 PC 4GB RAM 64GB SSD-Grey/Black","UGX 319,000","UGX 690,000",54%
Lenovo Refurbished ThinkPad 11 Inch 11e 8GB RAM 1TB HDD - Black,"UGX 620,000","UGX 1,400,000",56%
"Gpd New Laptop: 16 RAM,512SSD, 2-in-1 Touch Screen  10.9-inch 360° Flip Notebook Operating System: Windows 11.","UGX 2,200,000",,
"Renewed Probook 440 G3 Intel Core i5 6th Generation, 16GB RAM, 128GB SSD Plus 500GB HDD(HYBRID), 14 Inches HD Display-Black (6 Months Warranty)","UGX 699,000","UGX 999,000",30%
"Thinkpad Refurbished T420/T430/T440 I5,500GB HDD,8GB Ram-Black","UGX 490,000","UGX 1,100,000",55%
"Elite X2 G2 7th Gen Detachable,2-IN-1,Core I5, 8GB RAM, 256GB SSD,- Silver (6MHS WRTY) Refurbished  Grade A","UGX 1,279,000","UGX 1,900,000",33%
"Laptop 11"" 500GB 8GB RAM Intel ,HDMI Windows 10 Pro Webcam Zoom Ready -Dark Grey (Grade A)","UGX 449,090","UGX 990,000",55%
Refurbished HP Elitebook 840 G5  Core i5 8th Gen  8 GB RAM 256 GB SSD - Silver,"UGX 1,099,000","UGX 3,290,018",67%
"EliteBook X360 1030 G3 Core i7 8GB 512GB SSD Touchscreen-Repacked/Renewed Notebook 13.3""-Silver","UGX 1,496,000","UGX 2,300,000",35%
"Refurbrished Elitebook 820 G3, 12.5 Inch, Core I5 ,6th Gen, 8GBRAM DDR4 , 256GB SSD, Windows 10 Pro - Silver","UGX 698,750","UGX 1,250,000",44%
" Refurbished EliteBook 820 (12.5-inch,Core I7, 8GB RAM,1TB , PLUS FREE MOUSE PAD, MOUSE & BAG -Black (6MTHS WRTY)","UGX 750,000","UGX 950,000",21%
Hp EliteBook 830 / 840 G8 Core i7 16GB Ram 256GB SSD Storage 11th Generation - Silver,"UGX 1,750,000","UGX 3,100,000",44%
"Renewed Probook 640 G2 I5 6th Gen,8GB RAM 256GB SSD ,Windows 10 PRO(Grade A) - Black (6MTHS WRTY)","UGX 645,000","UGX 870,000",26%
"Latitude 7490 i7 8th Gen, 8GB Ram, 512GB SSD - Black(6MTHS WRTY) Renewed Grade A","UGX 1,100,000","UGX 1,950,000",44%
RENEWED  PROBOOK  640 CORE i5. 8GB RAM 500GB HDD REFURBISHED GRADE A - BLACK  PLUS FREE MOUSE (6months Warranty),"UGX 528,500","UGX 1,100,000",52%
"ThinkPad Yoga 260 Intel core  i5 16GB Fast RAM  512GB SSD 12.5"" FHD 1920x1080 Touch LCD-UK Used ","UGX 1,300,000","UGX 1,900,000",32%
Genuine Paper Cutter Size A4.-Grey Black,"UGX 75,000","UGX 80,000",6%
"ProBook 640 Core i7, 8GB RAM 500GB HDD (Refurbished) Black","UGX 699,000","UGX 1,300,000",46%
"Hp EliteBook 840 G7 – Power, Performance & Style!","UGX 1,675,000","UGX 2,000,000",16%
" Latitude 5440 Core i5 16GB RAM 500GB HDD,14"" - Black,Refurbished","UGX 559,000","UGX 1,050,000",47%
"Latitude Intel Core i3-8th Gen, 128GB NVMe SSD, 4GB DDR4, 13.3"", Grey,Refurbished(3 Months Warranty)","UGX 498,000","UGX 790,000",37%
"Acer Renewed Mini Laptop,Intel Celeron,4GB RAM,128GB SSD, 12"", 5hrs Battery - Black","UGX 359,000","UGX 899,000",60%
Refurbished Latitude 4gb Ram 320gb HDD Intel -Gray,"UGX 400,000","UGX 889,988",55%
"Lenovo IdeaPad 3  4GB RAM 1TB HDD 15.6"" Win 10 - Silver","UGX 950,000","UGX 1,099,980",14%
"Ultrabook 11.6"",Intel Celeron 128 GB SSD,4GB Black Plus Free Backpack, Refurbished (4MTHS WRTY)","UGX 379,000","UGX 999,000",62%
"Refurbished Probook TouchScreen X360 Intel 4GB RAM 128GB SSD 11.6""-Grey (Grade A)","UGX 440,000","UGX 800,000",45%
Lenovo 100e 4th Gen 64GB SSD EMMC(64GB) 4GB RAM WiFi - HDMI - Camera - Bluetooth Refurb (6 Months WRTY) Small & Slim Plus Free Mouse .,"UGX 319,000","UGX 550,000",42%
Laptop  640 Core I5 8GB Ram 1TB HDD Storage 14 Inch Screen Refurbished -Black (6 MNTHS WRTY),"UGX 639,000","UGX 1,200,000",47%
"DELL Latitude 3380 business laptop, 13.3in HD Display, Intel Core i3-6006U, 8GB DDR4, 500GB, Webcam, Windows 11 Pro (Renewed)","UGX 560,000","UGX 950,000",41%
